Title,Player,National/Internatinal,Start_Bid_in_cr,Winning_Bid_in_cr,Capped
 Mumbai Indians,Trent Boult  ,International,2,12.5,Capped
 Mumbai Indians,Deepak Chahar,National,2,9.25,Capped
 Mumbai Indians,Will Jacks  ,International,2,5.25,Capped
 Mumbai Indians,Naman Dhir,National,0.3,5.25,Uncapped
 Mumbai Indians,Allah  Ghazanfar  ,International,0.75,4.8,Capped
 Mumbai Indians,Mitchell Santner  ,International,2,2,Capped
 Mumbai Indians,Ryan Rickelton  ,International,1,1,Capped
 Mumbai Indians,Lizaad Williams  ,International,0.75,0.75,Capped
 Mumbai Indians,Reece Topley  ,International,0.75,0.75,Capped
 Mumbai Indians,Robin Minz,National,0.3,0.65,Uncapped
 Mumbai Indians,Karn Sharma,National,0.5,0.5,Uncapped
 Mumbai Indians,Vignesh Puthur,National,0.3,0.3,Uncapped
 Mumbai Indians,Arjun  Tendulkar,National,0.3,0.3,Uncapped
 Mumbai Indians,Bevan John Jacobs  ,International,0.3,0.3,Uncapped
 Mumbai Indians,Venkata Satyanarayana Penmetsa,National,0.3,0.3,Uncapped
 Mumbai Indians,Raj Angad Bawa,National,0.3,0.3,Uncapped
 Mumbai Indians,Shrijith Krishnan,National,0.3,0.3,Uncapped
 Mumbai Indians,Ashwani Kumar,National,0.3,0.3,Uncapped
